IPC	Parent_IPC	Level	Description	Description_EN
B60Q1/48	B60Q1/26	5	停车用的	for parking purposes
B60Q1/50	B60Q1/26	5	用于指明其他意图或情况的，例如请求等候或超车的	for indicating other intentions or conditions, e.g. request for waiting or overtaking
B60Q1/52	B60Q1/50	6	用于指明紧急情况的	for indicating emergencies
B60Q1/54	B60Q1/50	6	用于指明速度的	for indicating speed
B60Q1/56	B60Q1/26	5	用于照亮牌照或类似件的	for illuminating registrations or the like
B60Q11/00	B60Q	3	用于B60Q 1/00至B60Q 9/00各组内所包含装置的监测装置的布置〔2〕	Arrangement of monitoring devices for devices provided for in groups B60Q 1/00-B60Q 9/00 [2]
B60Q3/00	B60Q	3	车辆内部照明装置的布置，及其安装或支承或其所用电路〔4〕	Arrangement of lighting devices for vehicle interior, the mounting or supporting thereof or circuits therefor [4]
B60Q3/02	B60Q3/00	4	用于照明乘客或驾驶室的	for lighting passenger or driving compartment
B60Q3/04	B60Q3/02	5	用于仪表板的	for dashboard
B60Q3/06	B60Q3/00	4	用于照明舱的，例如照明行李舱或发动机舱，而不是照明乘客或驾驶室的	for lighting compartments other than passenger or driving space, e.g. luggage or engine compartment
B60Q5/00	B60Q	3	声响信号装置的布置或配置	Arrangement or adaptation of acoustic signal devices
B60Q7/00	B60Q	3	车辆上的轻便应急信号装置的布置或配置（在道路上用于进行警告的装置，例如，标志杆，入E01F 9/00；标记入G09F，例如，反射警告三角标记，G09F 13/16）	Arrangement or adaptation of portable emergency signal devices on vehicles (arrangements for enforcing caution on roads, e.g. marker posts, E01F 9/00; signs G09F, e.g. reflecting warning triangles G09F 13/16)
B60Q7/02	B60Q7/00	4	装在车辆外伸货物或加长部件上的	to be attached to overhanging loads or extending parts of vehicle
B60Q9/00	B60Q	3	不包含在B60Q 1/00至B60Q 7/00任一大组中的信号的布置或配备装置	Arrangement or adaptation of signal devices not provided for in one of main groups B60Q 1/00-B60Q 7/00
B60R	B60	2	不包含在其他类目中的车辆、车辆配件或车辆部件（专门适用于车辆的防火、抑制或灭火的入A62C 3/07）	VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR (fire prevention, containment or extinguishing specially adapted for vehicles A62C 3/07)
B60R1/00	B60R	3	光学观察装置（防眩装置，例如用于挡风玻璃或窗的偏振效应的入B60J 3/00；装置本身入G02B；专门适用于透明或反射表面的加热装置入H05B 3/84）〔2〕	Optical viewing arrangements (antiglare equipment, e.g. polarising, for windscreens or windows B60J 3/00 ) [2]
B60R1/02	B60R1/00	4	后视镜装置（潜望镜装置入B60R 1/10）	Rear-view mirror arrangements (periscope arrangements B60R 1/10)
B60R1/04	B60R1/02	5	装在车内的（B60R 1/08优先）〔1，7〕	mounted inside vehicle (B60R 1/08 takes precedence) [1, 7]
B60R1/06	B60R1/02	5	装在车外的（B60R 1/08优先）〔1，7〕	mounted on vehicle exterior (B60R 1/08 takes precedence) [1, 7]
B60R1/062	B60R1/06	6	带有遥控调节位置的〔7〕	with remote control for adjusting position [7]
B60R1/064	B60R1/062	7	用手动驱动器的〔7〕	by manually powered actuator [7]
B60R1/066	B60R1/064	8	用于相对于其壳体来调节后视镜〔7〕	for adjusting the mirror relative to its housing [7]
B60R1/068	B60R1/066	9	使用绳缆〔7〕	using cables [7]
B60R1/07	B60R1/062	7	用电动驱动器的〔7〕	by electrically powered actuator [7]
B60R1/072	B60R1/07	8	用于相对于壳体来调节后视镜〔7〕	for adjusting the mirror relative to its housing [7]
B60R1/074	B60R1/07	8	用于将镜装置收回至在车辆侧面不用的位置上〔7〕	for retracting the mirror arrangements to a non-use position alongside the vehicle [7]
B60R1/076	B60R1/06	6	在过大外力作用下可弯曲和设置有一指示的使用位置（B60R 1/062优先）〔7〕	yieldable to excessive external force and provided with an indexed use position (B60R 1/062 takes precedence) [7]
B60R1/078	B60R1/06	6	可容易移动的；安装成镜体向外移动，如拉曳时〔7〕	easily removable; mounted for bodily outward movement, e.g. when towing [7]
B60R1/08	B60R1/02	5	包含特殊光学性能的，例如免除盲点的	involving special optical features, e.g. avoiding blind spots
B60R1/10	B60R1/00	4	前视镜装置；潜望镜装置	Front-view mirror arrangements; Periscope arrangements
B60R1/12	B60R1/00	4	与其他物品例如钟结合的镜总成	Mirror assemblies combined with other articles, e.g. clocks
B60R11/00	B60R	3	其他类目不包括的物品固定或安放装置	Arrangements for holding or mounting articles, not otherwise provided for
B60R11/02	B60R11/00	4	用于收音机、电视、电话或类似电器；及其控制机构的配置（天线的入H01Q）	for radio sets, television sets, telephones, or the like; Arrangement of controls thereof
B60R11/04	B60R11/00	4	行车时使用的照相机支架；其控制机构相对于车辆的配置（照相机本身入G03B）	Mounting of cameras operative during drive; Arrangement of controls thereof relative to the vehicle
B60R11/06	B60R11/00	4	用于工具与备件的（用于车顶部件的入B60J 7/20；用于备用车轮的入B62D）	for tools or spare parts (for spare wheels B62D 43/00 )
B60R13/00	B60R	3	用于车身精修、标志或装饰的构件；广告的布置或配置	Elements for body-finishing, identifying, or decorating; Arrangements or adaptations for advertising purposes
B60R13/01	B60R13/00	4	用于载货台或载货仓的衬〔5〕	Liners for load platforms or load compartments [5]
