IPC	Parent_IPC	Level	Description	Description_EN
G21C7/06	G21C7/00	4	使用中子吸收材料，即吸收截面大大超过反射截面的材料	by application of neutron-absorbing material, i.e. material with absorption cross-section very much in excess of reflection cross-section
G21C7/08	G21C7/06	5	利用固体控制元件的位移，例如控制棒的位移	by displacement of solid control elements, e.g. control rods
G21C7/10	G21C7/08	6	控制元件的构造	Construction of control elements
G21C7/103	G21C7/10	7	包含一种或多于一种吸收剂以及其他元件，例如，燃料元件或慢化剂元件的控制组件〔5〕	Control assemblies containing one or more absorbants as well as other elements, e.g. fuel or moderator elements [5]
G21C7/107	G21C7/10	7	适于卵石形燃料层反应堆的控制元件〔5〕	Control elements adapted for pebble-bed reactors [5]
G21C7/11	G21C7/10	7	可变形的控制元件，例如，软性的、可伸缩的、活接的〔5〕	Deformable control elements, e.g. flexible, telescopic, articulated [5]
G21C7/113	G21C7/10	7	扁平元件构成的控制元件；具有十字形截面的控制元件〔5〕	Control elements made of flat elements; Control elements having cruciform cross-section [5]
G21C7/117	G21C7/10	7	控制棒簇束；星形接头结构〔5〕	Clusters of control rods; Spider construction [5]
G21C7/12	G21C7/08	6	移动控制元件到所希望的位置的装置(在紧急事故中的落棒入G21C 9/02)	Means for moving control elements to desired position (dropping control rods?into the reactor core?in an emergency G21C 9/02 )
G21C7/14	G21C7/12	7	机械驱动装置	Mechanical drive arrangements
G21C7/16	G21C7/12	7	液压或气动驱动装置	Hydraulic or pneumatic drive arrangements
G21C7/18	G21C7/08	6	取得控制元件差动的装置	Means for obtaining differential movement of control elements
G21C7/20	G21C7/08	6	减震器的配置(一般减震器入F16F)	Disposition of shock-absorbing devices
G21C7/22	G21C7/06	5	利用流体或流质吸收中子的材料的位移	by displacement of a fluid or fluent neutron-absorbing material
G21C7/24	G21C7/06	5	用作吸收中子的材料的选择	Selection of substances for use as neutron-absorbing material
G21C7/26	G21C7/00	4	依靠慢化剂或其部件的位移	by displacement of the moderator or parts thereof
G21C7/27	G21C7/26	5	能谱位移控制〔5〕	Spectral shift control [5]
G21C7/28	G21C7/00	4	依靠反射器或其部件的位移	by displacement of the reflector or parts thereof
G21C7/30	G21C7/00	4	依靠反应堆燃料或燃料元件的位移	by displacement of reactor fuel or fuel elements
G21C7/32	G21C7/00	4	改变通过堆芯的冷却剂的流量	by varying flow of coolant through the core
G21C7/34	G21C7/00	4	利用初级中子源	by utilisation of a primary neutron source
G21C7/36	G21C7/00	4	控制电路	Control circuits
G21C9/00	G21C	3	结构上和反应堆相结合的紧急保护装置(紧急冷却装置入G21C 15/18)	Emergency protection arrangements structurally associated with the reactor (emergency cooling arrangements G21C 15/18)
G21C9/004	G21C9/00	4	压力抑制〔5〕	Pressure suppression [5]
G21C9/008	G21C9/004	5	用破裂盘或破裂隔膜〔5〕	by rupture-discs or -diaphragms [5]
G21C9/012	G21C9/004	5	用热累积或用蒸汽冷凝，例如，冰冷凝器〔5〕	by thermal accumulation or by steam condensation, e.g. ice condensers [5]
G21C9/016	G21C9/00	4	堆芯捕集器〔5〕	Core catchers [5]
G21C9/02	G21C9/00	4	故障情况下有效地迅速降低反应性要素的装置，例如反应堆可熔保险器	Means for effecting very rapid reduction of the reactivity factor under fault conditions, e.g. reactor fuse
G21C9/027	G21C9/02	5	用固体，例如卵石状，快速移动〔5〕	by fast movement of a solid, e.g. pebbles [5]
G21C9/033	G21C9/02	5	用吸收剂流体〔5〕	by an absorbent fluid [5]
G21C9/04	G21C9/00	4	灭火装置	Means for suppressing fires
G21C9/06	G21C9/04	5	用于防止爆炸气体累积的装置，例如，复合器〔5〕	Means for preventing accumulation of explosives gases, e.g. recombiners [5]
G21D	G21	2	核发电厂	NUCLEAR POWER PLANT
G21D1/00	G21D	3	核发电厂的部件(控制部分入G21D 3/00)	Details of nuclear power plant (control G21D 3/00)
G21D1/02	G21D1/00	4	辅助设备的安排	Arrangements of auxiliary equipment
G21D1/04	G21D1/00	4	抽送装置(在反应堆压力容器内部用的入G21C 15/24；电动泵入H02K 44/02)	Pumping arrangements (by means within the reactor pressure vessel G21C 15/24 )
G21D3/00	G21D	3	核发电厂的控制(一般核反应控制入G21C 7/00)	Control of nuclear power plant (control of nuclear reaction?G21C 7/00 )
G21D3/02	G21D3/00	4	手控	Manual control
G21D3/04	G21D3/00	4	安全装置(反应堆的紧急保护入G21C 9/00)	Safety arrangements (emergency protection of reactor G21C 9/00)
G21D3/06	G21D3/04	5	在核电厂内对故障的响应(在反应堆中入G21C 9/00)	responsive to faults within the plant (in the reactor G21C 9/02 )
G21D3/08	G21D3/00	4	设备中任一参数的调节	Regulation of any parameters in the plant
G21D3/10	G21D3/08	5	利用从中子通量导出的变量和其他控制装置（例如从温度、冷却流量、压力）导出的变量的结合	by a combination of a variable derived from neutron flux with other controlling variables, e.g. derived from temperature, cooling flow, pressure
G21D3/12	G21D3/08	5	只对发动机需要量变化起响应的反应堆的调节	by adjustment of the reactor in response only to changes in engine demand
G21D3/14	G21D3/12	6	改变冷却剂的流量	Varying flow of coolant
G21D3/16	G21D3/12	6	改变反应性	Varying reactivity
G21D3/18	G21D3/08	5	只对反应性的变化起响应的反应堆外部设备的调节	by adjustment of plant external to the reactor only in response to change in reactivity
G21D5/00	G21D	3	反应堆和发动机的安排，其中反应堆产生的热转变为机械能	Arrangements of reactor and engine in which reactor-produced heat is converted into mechanical energy
G21D5/02	G21D5/00	4	结构上联合的反应堆和发动机，如轻便型的	Reactor and engine structurally combined, e.g. portable
G21D5/04	G21D5/00	4	结构上不联合的反应堆和发动机	Reactor and engine not structurally combined
G21D5/06	G21D5/04	5	发动机工作介质通过反应堆芯循环的	with engine working medium circulating through reactor core
G21D5/08	G21D5/04	5	发动机工作介质在热交换器中被反应堆冷却剂加热的	with engine working medium heated in a heat exchanger by the reactor coolant
G21D5/10	G21D5/08	6	被反应堆局部加热和被堆芯外部热源所蒸发的液体工作介质	Liquid working medium partially heated by reactor and vaporised by heat source external to the core, e.g. with oil heating
G21D5/12	G21D5/08	6	被反应堆冷却剂所蒸发的液体工作介质	Liquid working medium vaporised by reactor coolant
G21D5/14	G21D5/12	7	亦由反应堆冷却剂使其过热	and also superheated by reactor coolant
G21D5/16	G21D5/12	7	由分离的热源使其过热的	superheated by separate heat source
G21D7/00	G21D	3	从聚变或裂变反应直接产生电能的装置(从放射源得到电能的入G21H 1/00)	Arrangements for direct production of electric energy from fusion or fission reactions (obtaining electric energy from radioactive sources G21H 1/00)
G21D7/02	G21D7/00	4	使用磁流体发电机	using magneto-hydrodynamic generators
G21D7/04	G21D7/00	4	使用热电元件(燃料元件和热电元件结构上结合的入G21C 3/40；热电元件本身入H01L 35/00，H01L 37/00)	using thermoelectric elements (structural combination of fuel element with thermoelectric element G21C 3/40 )
G21D9/00	G21D	3	除转变为电力外其他用途的供热装置，如用于加热建筑物	Arrangements to provide heat for purposes other than conversion into power, e.g. for heating buildings
G21F	G21	2	X射线，γ射线、微粒射线或粒子轰击的防护；处理放射性污染材料；及其去污染装置(用药物方法进行的辐射防护入A61K 8/00，A61Q 17/00；在航天器中的入B64G；与反应堆结合的入G21C 11/00；与X射线管结合的入H01J 35/16；与X射线仪器结合的入H05G 1/02)	PROTECTION AGAINST X-RADIATION, GAMMA RADIATION, CORPUSCULAR RADIATION OR PARTICLE BOMBARDMENT; TREATING RADIOACTIVELY CONTAMINATED MATERIAL; DECONTAMINATION ARRANGEMENTS THEREFOR (radiation protection by pharmaceutical means A61K 8/00, A61Q 17/04 ; in cosmonautic vehicles B64G 1/54 ; combined with a reactor G21C 11/00 ; combined with X-ray tubes H01J 35/16 ; combined with X-ray apparatus H05G 1/02 )
G21F1/00	G21F	3	以材料组分为特征的防护物	Shielding characterised by the composition of the material
G21F1/02	G21F1/00	4	均匀的防护材料的选择	Selection of uniform shielding materials
G21F1/04	G21F1/02	5	混凝土；其他液压硬化材料	Concretes; Other hydraulic hardening materials
G21F1/06	G21F1/02	5	陶瓷；玻璃；耐火砖(金属陶瓷入G21F 1/08)	Ceramics; Glasses; Refractories (cermets G21F 1/08)
G21F1/08	G21F1/02	5	金属；合金；金属陶瓷，即陶瓷和金属烧结的混合物	Metals; Alloys; Cermets, i.e. sintered mixtures of ceramics and metals
G21F1/10	G21F1/02	5	有机物质，在有机载体中的弥散	Organic substances; Dispersions in organic carriers
G21F1/12	G21F1/00	4	叠层防护材料	Laminated shielding materials
G21F3/00	G21F	3	以其物理形态(如颗粒)或材料的形状为特征的防护物	Shielding characterised by its physical form, e.g. granules, or shape of the material
G21F3/02	G21F3/00	4	服(防护服装或外套入A41D 13/00) 	Clothing
G21F3/025	G21F3/02	5	完全包围穿衣者的衣服〔5〕	Clothing completely surrounding the wearer [5]
G21F3/03	G21F3/02	5	围裙〔5〕	Aprons [5]
G21F3/035	G21F3/02	5	手套(在手套箱上安装装置入G21F 7/053)〔5〕	Gloves (mounting means on glove boxes G21F 7/053) [5]
G21F3/04	G21F3/00	4	砖；用它建成的防护物	Bricks; Shields made up therefrom
G21F5/00	G21F	3	可运输的或轻便的防护容器	Transportable or portable shielded containers
G21F5/002	G21F5/00	4	用于流体放射性废物的容器〔5〕	Containers for fluid radioactive wastes [5]
G21F5/005	G21F5/00	4	用于固体放射性废物的容器，例如极端处置〔5〕	Containers for solid radioactive wastes, e.g. for ultimate disposal [5]
G21F5/008	G21F5/005	5	用于燃料元件的容器〔5〕	Containers for fuel elements [5]
G21F5/012	G21F5/008	6	容器中的燃料元件架〔5〕	Fuel element racks in the containers [5]
G21F5/015	G21F5/00	4	用于存储放射性源，例如用于照射单元的源载体；放射性同位素容器〔5〕	for storing radioactive sources, e.g. source carriers for irradiation units; Radioisotope containers [5]
G21F5/018	G21F5/015	5	注射器的防护或容器(用于把放射性物质用到人体的注射器的防护入A61M 36/08)〔5〕	Syringe shields or holders (syringe shielding for applying radioactive material to the body A61M 36/08) [5]
G21F5/02	G21F5/00	4	具有使辐射源在容器中作受限制照射的设备	with provision for restricted exposure of a radiation source within the container
G21F5/04	G21F5/02	5	控制照射的装置，如时间、孔径尺寸(对X射线照射的控制入H05G 1/30)	Means for controlling exposure, e.g. time, size of aperture (controlling exposure to X-radiation H05G 1/30)
G21F5/06	G21F5/00	4	容器零件或容器附件〔5〕	Details of, or accessories to, the containers [5]
G21F5/08	G21F5/06	5	震动吸收体，例如用于容器的碰撞缓冲器〔5〕	Shock-absorbers, e.g. impact buffers for containers [5]
G21F5/10	G21F5/06	5	热排除系统，例如使用循环流体或冷却风扇〔5〕	Heat-removal systems, e.g. using circulating fluid or cooling fins [5]
G21F5/12	G21F5/06	5	用于容器的封闭；密封装置〔5〕	Closures for containers; Sealing arrangements [5]
G21F5/14	G21F5/06	5	用于装卸容器或运输容器的器械，例如运输器械〔5〕	Devices for handling containers or shipping-casks, e.g. transporting devices [5]
G21F7/00	G21F	3	加防护的小室或房间(一般设有操作器件的室入B25J)	Shielded cells or rooms
G21F7/005	G21F7/00	4	通过墙壁的防护通道；锁；房间之间的转接器件(手套箱之间的入G21F 7/047)〔5〕	Shielded passages through walls; Locks; Transferring devices between rooms (between glove-boxes G21F 7/047) [5]
G21F7/01	G21F7/005	5	通过流体装置转接〔5〕	Transferring by fluidic means [5]
G21F7/015	G21F7/00	4	房间的大气、温度或压力控制器件〔5〕	Room atmosphere, temperature or pressure control devices [5]
G21F7/02	G21F7/00	4	允许目视但对观察者有防护的观察器具	Observation devices permitting vision but shielding the observer
G21F7/03	G21F7/02	5	窗，例如防护窗〔5〕	Windows, e.g. shielded [5]
G21F7/04	G21F7/00	4	防护手套箱(一般手套箱入B25J 21/02)	Shielded glove-boxes
G21F7/047	G21F7/04	5	防护通道；手套箱之间封闭或转接装置〔5〕	Shielded passages; Closing or transferring means between glove-boxes [5]
G21F7/053	G21F7/04	5	安装手套装置〔5〕	Glove mounting means [5]
G21F7/06	G21F7/00	4	与遥控器械结构结合的，如和机械手结合的(机械手入B25J；一般遥控入G05)	Structural combination with remotely-controlled apparatus, e.g. with manipulators
G21F9/00	G21F	3	处理放射性污染材料；及其去污装置〔2，5〕	Treating radioactively contaminated material; Decontamination arrangements therefor [2, 5]
G21F9/02	G21F9/00	4	处理气体的〔2〕	Treating gases [2]
G21F9/04	G21F9/00	4	处理液体的〔2〕	Treating liquids [2]
G21F9/06	G21F9/04	5	处理过程(分离同一化学元素的各种同位素入B01D 59/00)	Processing
G21F9/08	G21F9/06	6	蒸发；蒸馏	by evaporation; by distillation
G21F9/10	G21F9/06	6	絮凝	by flocculation
G21F9/12	G21F9/06	6	吸收；吸附；离子交换	by absorption; by adsorption; by ion-exchange
G21F9/14	G21F9/06	6	烧尽；熔解，如烘干	by incineration; by calcination, e.g. desiccation
G21F9/16	G21F9/06	6	在稳定的固态介质中凝固	by fixation in stable solid media
G21F9/18	G21F9/06	6	生物学上的处理	by biological processes
G21F9/20	G21F9/04	5	液体废物的处理	Disposal of liquid waste
G21F9/22	G21F9/20	6	存放在槽或其他的容器中	by storage in a tank or other container
G21F9/24	G21F9/20	6	存放在地下；存放在水下；如存入海洋	by storage in the ground; by storage under water, e.g. in ocean
G21F9/26	G21F9/20	6	在水中稀释，如，在海洋中，在河流中	by dilution in water, e.g. in ocean, in stream
G21F9/28	G21F9/00	4	处理固体的〔2〕	Treating solids [2]
G21F9/30	G21F9/28	5	处理过程(分离同一化学元素的各种同位素入B01D 59/00)	Processing
G21F9/32	G21F9/30	6	烧尽	by incineration
G21F9/34	G21F9/28	5	固体废物的处置	Disposal of solid waste
G21F9/36	G21F9/34	6	封装；打包	by packaging; by baling
G21G	G21	2	化学元素的转变；放射源(一般辐射的应用入G21H 5/00；粒子处理(例如中子)或其他类目不包括的电磁辐射的处理入G21K)〔2〕；	CONVERSION OF CHEMICAL ELEMENTS; RADIOACTIVE SOURCES [2]
G21G1/00	G21G	3	用于以电磁辐射、微粒辐射或粒子轰击的方法转变化学元素的装置，例如，生产放射性同位素(同一元素的各种同位素的分离入B01D 59/00；通过热核反应的入G21B；核燃料的转变入G21C)〔2〕	Arrangements for converting chemical elements by electromagnetic radiation, corpuscular radiation, or particle bombardment, e.g. producing radioactive isotopes (by thermonuclear reactions in nuclear reactors G21B ; conversion of nuclear fuel in nuclear reactors G21C ) [2]
G21G1/02	G21G1/00	4	在核反应堆中	in nuclear reactors
G21G1/04	G21G1/00	4	在核反应堆或粒子加速器外部的〔2〕	outside of nuclear reactors or particle accelerators [2]
G21G1/06	G21G1/04	5	用中子照射〔2〕	by neutron irradiation [2]
G21G1/08	G21G1/06	6	伴随核裂变的〔2〕	accompanied by nuclear fission [2]
G21G1/10	G21G1/04	5	用带电粒子轰击(照射器件入G21K 5/00)〔2〕	by bombardment with electrically-charged particles (irradiation devices G21K 5/00) [2]
G21G1/12	G21G1/04	5	用电磁照射，例如，用γ或X射线(辐射的应用入G21H 5/00；照射器件入G21K 5/00)〔2〕	by electromagnetic irradiation, e.g. with gamma or X-rays (irradiation devices G21K 5/00 ) [2]
G21G4/00	G21G	3	放射源(在聚变反应堆中产生中子或其他亚原子粒子，X或γ射线的入G21B，在核反应堆中产生的入G21C，用宇宙射线产生的入G21H 7/00，在加速器中产生的入H05H；X射线管入H01J 35/00；γ量子放大器入H01S 4/00)〔2〕	Radioactive sources [2]
G21G4/02	G21G4/00	4	中子源〔2〕	Neutron sources [2]
G21G4/04	G21G4/00	4	除中子源外其他的放射源(放射性敷料剂入A61M 36/14)〔2〕	Radioactive sources other than neutron sources (radioactive dressings A61M 36/14) [2]
G21G4/06	G21G4/04	5	按结构特点区分〔2〕	characterised by constructional features [2]
G21G4/08	G21G4/06	6	专门适用于医学应用的(使用放射源的辐射治疗入A61N 5/10)〔2〕	specially adapted for medical applications (radiation therapy using radioactive sources A61N 5/10) [2]
G21G4/10	G21G4/04	5	应用镭放射〔2〕	with radium emanation [2]
G21G5/00	G21G	3	通过化学反应进行化学元素的推断转变	Alleged conversion of chemical elements by chemical reaction
G21G7/00	G21G	3		Conversion of chemical elements not provided for in other groups of this subclass [2009.01]
G21H	G21	2	从放射源取得能量；放射源辐射的应用；宇宙射线的利用(核或X辐射的测量入G01T；聚变反应堆入G21B；核反应堆入G21C；对电磁或微粒子辐射灵敏的半导体器件入H01L 31/00)	OBTAINING ENERGY FROM RADIOACTIVE SOURCES; APPLICATIONS OF RADIATION FROM RADIOACTIVE SOURCES; UTILISING COSMIC RADIATION (fusion reactors G21B ; nuclear reactors G21C )
G21H1/00	G21H	3	从放射源取得电能的装置，例如，从放射性同位素	Arrangements for obtaining electrical energy from radioactive sources, e.g. from radioactive isotopes
G21H1/02	G21H1/00	4	用β辐射直接充电的电池	Cells charged directly by beta radiation
G21H1/04	G21H1/00	4	利用α、β、γ辐射引起的二次发射的电池(放电管入H01J 40/00，H01J 47/00)	Cells using secondary emission induced by alpha radiation, beta radiation, or gamma radiation
G21H1/06	G21H1/00	4	辐射运用于不同半导体材料结的电池	Cells wherein radiation is applied to the junction of different semiconductor materials
G21H1/08	G21H1/00	4	在两种不同金属结存在下，在电池中辐射电离气体的电池，即接触电位差电池(放电管入H01J)	Cells in which radiation ionises a gas in the presence of a junction of two dissimilar metals, i.e. contact potential-difference cells
G21H1/10	G21H1/00	4	辐射加热电结或热离子变换器的电池(用作热离子发生器的放电管入H01J 45/00；由不同材料的结构成的热电器件入H01L 35/00)〔2〕	Cells in which radiation heats a thermoelectric junction or a thermionic converter [2]
G21H1/12	G21H1/00	4	利用辐射转变为光与随后的光电转换为电能相结合的电池	Cells using conversion of the radiation into light combined with subsequent photoelectric conversion into electric energy
G21H3/00	G21H	3	由放射源直接将辐射性能转变为除电能外其他形式的能量装置，如光能(激光器入H01S 3/00)	Arrangements for direct conversion of radiation energy from radioactive sources into forms of energy other than electric energy, e.g. light
G21H3/02	G21H3/00	4	其中材料由辐射激发而发光的(被充入的气体或屏幕或涂层受结构上与灯相连的放射性材料的激发而发光的灯入H01J 65/00)	in which material is excited to luminesce by the radiation (lamps in which a gas filling or screen or coating is excited to luminesce by radioactive material structurally associated with the lamp H01J 65/00)
G21H5/00	G21H	3		Applications of radiation from radioactive sources or arrangements therefor (producing mutation in plants A01H 1/06 ; preservation of dairy products A23C 3/07 ; preservation of foodstuffs A23L 3/26 ; for therapeutic purposes A61N 5/10 ; in chemical, physical or physicochemical processes in general B01J 19/08 ; in electrostatic separation B03C 3/38 ; for after-treatment of coatings applied as liquids or other fluent materials B05D 3/06 ; for action between electric vehicles and tracked apparatus B61L 1/10, B61L 3/06 ; ?for preparation of organic chemical compounds C07,?C08F 2/46 ; for treating macromolecular substances or articles made therefrom B29C 71/04, C08J 3/28, C08J 7/18 ; for cracking of hydrocarbon oils C10G 15/10, C10G 32/04 ; for reforming naphtha C10G 35/16 ; preservation or ageing of products obtained from fermentation processes C12H 1/06, C12H 1/16 ; for bleaching fibres D06L 3/04 ; measuring G01T ; irradiation devices, gamma- or X-ray microscopes G21K ; in discharge tubes H01J ; apparatus for generating ions to be introduced into non-enclosed gases, e.g. into the atmosphere, H01T 23/00 ; for carrying-off electrostatic charges H05F 3/06 )
G21H5/02	G21H5/00	4	用作示踪物	as tracers
G21H7/00	G21H	3	宇宙射线效应的利用	Use of effects of cosmic radiation
G21J	G21	2	核爆炸；其应用(电或磁模拟计算机，如用于核物理的模拟装置入G06G 7/54)	NUCLEAR EXPLOSIVES; APPLICATIONS THEREOF
G21J1/00	G21J	3	核爆炸装置	Nuclear explosive devices
G21J3/00	G21J	3	核爆炸装置的和平利用	Peaceful applications of nuclear explosive devices
G21J3/02	G21J3/00	4	用于挖掘	for excavation
G21J5/00	G21J	3	核爆炸的探测装置(单独的测量装置入G01)	Detection arrangements for nuclear explosions
G21K	G21	2	未列入其他类目的粒子或电磁辐射的处理技术；照射装置；γ射线或X射线显微镜(X射线技术入H05G；等离子体技术入H05H)〔2〕	TECHNIQUES FOR HANDLING PARTICLES OR IONISING?RADIATION NOT OTHERWISE PROVIDED FOR; IRRADIATION DEVICES; GAMMA RAY?OR X-RAY MICROSCOPES [2]
G21K1/00	G21K	3	辐射或粒子的处理装置，如聚焦、慢化(辐射滤波器入G21K 3/00)〔2〕	Arrangements for handling particles or ionising radiation, e.g. focusing or moderating (ionising radiation filters G21K 3/00 ; production or acceleration of neutrons, electrically-charged particles, neutral molecular beams or neutral atomic beams H05H 3/00-H05H 15/00 ) [2]
G21K1/02	G21K1/00	4	使用光阑、准直器〔2〕	using diaphragms, collimators [2]
G21K1/04	G21K1/02	5	应用可变光阑、活门、斩波器〔2〕	using variable diaphragms, shutters, choppers [2]
G21K1/06	G21K1/00	4	应用衍射、折射或反射，如单色仪(G21K 1/10，G21K 7/00优先)〔2〕	using diffraction, refraction, or reflection, e.g. monochromators (G21K 1/10, G21K 7/00 take precedence) [2]
G21K1/08	G21K1/00	4	用电或磁装置使束流偏转、集中或聚焦(放电管的电子光学的装置入H01J 29/46)〔2〕	Deviation, concentration, or focusing of the beam by electric or magnetic means (electron-optical arrangements in electric discharge tubes H01J 29/46) [2]
G21K1/087	G21K1/08	5	用电的装置〔4〕	by electrical means [4]
G21K1/093	G21K1/08	5	用磁的装置〔4〕	by magnetic means [4]
G21K1/10	G21K1/00	4	散射器件；吸收器件〔2〕	Scattering devices; Absorbing devices [2]
G21K1/12	G21K1/10	5	共振吸收器或其驱动设备，如穆斯堡尔效应装置〔3〕	Resonant absorbers or driving arrangements therefor, e.g. for M?ssbauer-effect devices [3]
G21K1/14	G21K1/00	4	使用电荷交换器件，如用于束流的电荷中性化或改变其符号(中性粒子束的产生或加速入H05H 3/00)〔3〕	using charge exchange devices, e.g. for neutralising or changing the sign of the electrical charges of beams [3]
G21K1/16	G21K1/00	4	应用极化装置，如用于获得极化的离子束〔3〕	using polarising devices, e.g. for obtaining a polarised ion beam [3]
G21K3/00	G21K	3	辐射滤波器，如X射线滤波器〔2〕	ionising radiation?filters, e.g. X-ray filters [2]
G21K4/00	G21K	3	用于将X射线或粒子辐射的空间分布转换成可见图像的转换屏幕，如荧光屏(应用X射线增强器的照片处理入G03C 5/17；包括发光屏幕的放电管入H01J 1/62；用于具有光学输出的X射线转换的阴极射线管入H01J 31/50)〔3〕	Conversion screens for the conversion of the spatial distribution of particles or ionising?radiation into visible images, e.g. fluoroscopic screens [3]
G21K5/00	G21K	3	照射装置(适用于简化照射的反应堆入G21C 23/00；照射用的放电管入H01J 33/00，H01J 37/00)〔2〕	Irradiation devices (adaptations of reactors to facilitate irradiation G21C 23/00; discharge tubes for irradiating H01J 33/00, H01J 37/00) [2]
G21K5/02	G21K5/00	4	没有束流成形装置〔2〕	having no beam-forming means [2]
G21K5/04	G21K5/00	4	有束流成形装置〔2〕	with beam-forming means [2]
G21K5/08	G21K5/00	4	靶或被照射物体的支架〔2〕	Holders for targets or for objects to be irradiated [2]
G21K5/10	G21K5/00	4	具有在束流源与被照射物体有相对运动的设备〔3〕	with provision for relative movement of beam source and object to be irradiated [3]
G21K7/00	G21K	3	γ射线或X射线显微镜〔2〕	Gamma ray or X-ray microscopes [2]
G99	G	1	不包含在本部其他类目中的技术主题〔8〕	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [8]
G99Z	G99	2	本部其他类目不包括的技术主题〔8〕	SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [8]
G99Z99/00	G99Z	3	不包含在本部其他类目中的技术主题〔8〕	Subject matter not otherwise provided for in this section [8]
H		0	电学	ELECTRICITY
H01	H	1	基本电气元件	BASIC ELECTRIC ELEMENTS
H01B	H01	2	电缆；导体；绝缘体；导电、绝缘或介电材料的选择	CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING, OR DIELECTRIC PROPERTIES (selection for magnetic properties H01F 1/00; waveguides H01P; installation of cables or lines, or of combined optical and electric, cables or lines H02G)
H01B1/00	H01B	3	按导电材料特性区分的导体或导电物体；用作导体的材料选择（按材料特性区分的超导或高导导体、电缆或传输线入H01B 12／00；电阻器入H01C；按材料特性区分的应用超导电性或高导电性的零部件入H01L 39／12）〔4〕	Conductors or conductive bodies characterised by the conductive materials; Selection of materials as conductors (superconductive or hyperconductive conductors, cables, or transmission lines characterised by the materials H01B 12/00; resistors H01C; details of devices using superconductivity or hyperconductivity, characterised by the material H01L 39/12) [4]
H01B1/02	H01B1/00	4	主要由金属或合金组成的	mainly consisting of metals or alloys
H01B1/04	H01B1/00	4	主要由碳硅化合物、碳或硅组成的	mainly consisting of carbon-silicon compounds, carbon, or silicon
H01B1/06	H01B1/00	4	主要由其他非金属物质组成的	mainly consisting of other non-metallic substances
H01B1/08	H01B1/06	5	氧化物	oxides
H01B1/10	H01B1/06	5	硫化物	sulfides
H01B1/12	H01B1/06	5	有机物质〔3〕	organic substances [3]
H01B1/14	H01B1/00	4	分散在不导电无机材料中的导电材料〔3〕	Conductive material dispersed in non-conductive inorganic material [3]
H01B1/16	H01B1/14	5	包含金属或合金的导电材料〔3〕	the conductive material comprising metals or alloys [3]
H01B1/18	H01B1/14	5	包含碳硅化合物、碳或硅的导电材料〔3〕	the conductive material comprising carbon-silicon compounds, carbon, or silicon [3]
H01B1/20	H01B1/00	4	分散在不导电的有机材料中的导电材料〔3〕	Conductive material dispersed in non-conductive organic material [3]
H01B1/22	H01B1/20	5	包含金属或合金的导电材料〔3〕	the conductive material comprising metals or alloys [3]
H01B1/24	H01B1/20	5	包含碳硅化合物、碳或硅的导电材料〔3〕	the conductive material comprising carbon-silicon compounds, carbon, or silicon [3]
H01B11/00	H01B	3	通信电缆或导体（波导管入H01P）	Communication cables or conductors (waveguides H01P)
H01B11/02	H01B11/00	4	带有双股绞合的或四股绞合的电缆（接头处的换位、交叉或扭绞入H04B；对地电容的平衡入H04B）	Cables with twisted pairs or quads (transposing, crossing, or twisting at joints H04B; balancing of earth capacitance H04B)
H01B11/04	H01B11/02	5	带有相互配置以减少串话的双线或四线组（用附加电容器或线圈形成平衡的入H04B）	with pairs or quads mutually positioned to reduce cross-talk (balancing by making use of additional capacitors or coils H04B)
H01B11/06	H01B11/02	5	带有减小电磁干扰效应或静电干扰效应的装置的，如屏蔽（一般屏蔽入H05K 9/00）	with means for reducing effects of electromagnetic or electrostatic disturbances, e.g. screen (screening in general H05K 9/00)
H01B11/08	H01B11/06	6	专用于减少串话的屏蔽	Screens specially adapted for reducing cross-talk
H01B11/10	H01B11/06	6	专用于减少外部电源干扰的屏蔽	Screens specially adapted for reducing interference from external sources
H01B11/12	H01B11/02	5	显示出特殊传输特性的装置（负载线圈本身入H01F 17/08；线圈负载电路入H04B）	Arrangements for exhibiting specific transmission characteristics (loading coils per seH01F 17/08; coil-loaded circuits H04B)
H01B11/14	H01B11/12	6	连续加感电缆，如均匀加感电缆	Continuously inductively loaded cables, e.g. Krarup cables
H01B11/16	H01B11/12	6	电缆，如海底电缆，在电缆的制造过程中装入线圈或其他装置的（电缆的接线盒入H02G 15/10）	Cables, e.g. submarine cable, with coils or other devices incorporated during cable manufacture (junction boxes for cables H02G 15/10)
H01B11/18	H01B11/00	4	同轴电缆；在一个公共的外导体内有多于1个的内导体的模拟电缆（适用于工作频率大大高于音频的同轴电缆入H01P 3/06）	Coaxial cables; Analogous cables having more than one inner conductor within a common outer conductor (suitable for handling frequencies considerably beyond the audio range H01P 3/06)
H01B11/20	H01B11/18	5	带有许多同轴线的电缆〔3〕	Cables having a multiplicity of coaxial lines [3]
H01B11/22	H01B11/00	4	包括至少1个电导体连同光导纤维共同构成的电缆〔4〕	Cables including at least one electrical conductor together with optical fibres [4]
