申请人,国家,分国专利数
天津大学,中国,1
不二越机械工业股份有限公司 | 丰田自动车株式会社 | 信州大学,日本,1
南京大学 | 南京大学深圳研究院,中国,1
江苏鲁汶仪器股份有限公司,中国,1
伊利诺伊大学评议会,美国,1
徐州工程学院,中国,1
南京同溧晶体材料研究院有限公司,中国,8
昆明先导新材料科技有限责任公司,中国,1
信州大学 | 不二越机械工业股份有限公司 | 丰田自动车株式会社,中国,1
中国科学院上海微系统与信息技术研究所,日本,1
日东电工株式会社,中国,1
独立行政法人物质材料研究机构,日本,8
出光兴产株式会社 | 国立大学法人东海国立大学机构 | 日机装株式会社,日本,1
登士柏西诺德公司,美国,2
福吉米株式会社,中国,3
江苏吉星新材料有限公司,中国,1
株式会社明电舍,美国,1
眉山博雅新材料股份有限公司,中国,1
IONES株式会社,韩国,1
国立大学法人北海道大学 | 日产化学株式会社,中国,1
吉坤日矿日石金属株式会社,中国,4
罗斯蒙特航天公司,美国,1
安徽晶宸科技有限公司,中国,2
哈米尔顿森德斯特兰德公司,美国,1
陕西师范大学,中国,2
SAULE,美国,1
中国科学院上海硅酸盐研究所,中国,7
芝加哥大学 | 尤芝加哥阿尔贡有限公司,美国,1
合肥工业大学,中国,1
有研稀土新材料股份有限公司,美国,1
华南师范大学,中国,2
凯斯科技股份有限公司,中国台湾,1
纳微朗科技(深圳)有限公司,中国,2
惠科股份有限公司 | 滁州惠科光电科技有限公司,中国,1
凯斯科技股份有限公司,中国,1
松下知识产权经营株式会社,日本,2
中山大学,世界知识产权组织,2
京瓷株式会社,美国,1
北京镓族科技有限公司,中国,5
株式会社斯库林集团,中国台湾,1
安徽光智科技有限公司,中国,1
国际商业机器公司,美国,2
温州大学,中国,1
康奈尔大学,美国,1
电子部品研究院,韩国,3
东芝电子元件及储存装置股份有限公司,日本,1
丰田自动车株式会社 | 国立大学法人京都工芸繊维大学,中国,1
全北大学校产学协力团,韩国,1
新加坡科技设计大学,中国,1
株式会社古屋金属,日本,1
罗杰斯公司,世界知识产权组织,1
西安理工大学,中国,1
秀博瑞殷股份有限公司,韩国,1
大连理工大学,美国,1
沈阳鑫谱晶体科技有限公司,中国,1
株式会社电装 | 国立大学法人京都工芸繊维大学,日本,1
启东润博园区管理服务有限公司,中国,1
三井化学株式会社,日本,1
凯斯科技股份有限公司,韩国,2
国防科学研究所,韩国,1
中国科学院苏州纳米技术与纳米仿生研究所,美国,1
广州文搏科技有限公司,中国,1
江苏穿越光电科技有限公司,中国,1
三峡大学,中国,1
中国工程物理研究院化工材料研究所,中国,1
通用电气公司,中国,2
京都大学 | 株式会社FLOSFIA,美国,1
江苏贝肯新材料有限公司,中国,1
西安电子科技大学,美国,1
国立大学法人东京工业大学 | 旭硝子株式会社,美国,1
通用电气公司,加拿大,2
国立大学法人佐贺大学,日本,1
研创应用材料(深圳)股份有限公司,中国,3
电子部品研究院 | SUKWON,韩国,1
INST METALI NIE ELAZNYCH,波兰,1
X VI株式会社,中国,1
捷造科技(宁波)有限公司,中国,1
田村株式会社 | 希克斯股份有限公司 | 独立行政法人情报通信研究机构,中国,1
株式会社博迈立铖,日本,2
东曹株式会社,美国,1
东营睿港招商服务有限责任公司,中国,2
北京邮电大学,中国,1
赢创运营有限公司,中国,1
中央硝子株式会社,日本,2
株式会社日立建筑系统,日本,1
芝加哥大学,日本,1
NANO MASTER INC,美国,2
挪威科技大学,中国台湾,1
欧司朗光电半导体有限公司,日本,1
江苏海林电子新材料科技有限公司,中国,1
西安工业大学,中国,1
出光兴产株式会社,美国,5
无锡佶达德光电子技术有限公司,中国,1
鼎元光电科技股份有限公司 | 国立交通大学,美国,1
中国科学院上海光学精密机械研究所 | 杭州光学精密机械研究所,新加坡,1
英特尔公司,世界知识产权组织,1
东南大学,中国,1
法赫德国王石油和矿业大学,美国,1
IM ADVENCED MATRIALS CO LTD,韩国,1
日本电信电话株式会社,日本,9
佛山市顺德区美的电热电器制造有限公司,中国,1
成都创客之家科技有限公司,中国,1
住友金属矿山株式会社,日本,6
HOYA株式会社,中国,1
华南理工大学,美国,1
浙江理工大学,中国,2
杨晓艳,中国,1
喀什大学,中国,1
矢崎总业株式会社 | 广岛大学,日本,1
凯斯西储大学,美国,1
福吉米株式会社,日本,1
赫姆霍茨中心柏林材料与能源有限公司,德国,1
通用电气公司,美国,2
株式会社FLOSFIA | 京都大学,中国,1
行政院原子能委员会 核能研究所,美国,1
江西德义半导体科技有限公司,中国,2
合肥科晶材料技术有限公司,中国,1
巴斯夫欧洲公司,世界知识产权组织,1
拉姆研究公司,中国台湾,1
日亚化学工业株式会社,美国,1
中国电子科技集团公司第二十六研究所,中国,2
BURGETT ERIC A,美国,1
山东国投控股集团有限公司,中国,3
克罗米斯有限公司,中国,1
克若密斯公司,韩国,1
凸版控股株式会社,日本,4
凸版控股株式会社,中国,1
田村株式会社 | 诺维晶科股份有限公司,美国,1
沃斯特克公司,美国,1
FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE NAUCHNOE UCHREZHDENIE FEDERALNYJ ISSLEDOVATELSKIJ TSENTR KRASNOYARSKIJ NAUCHNYJ TSENTR SIBIRSKOGO OTDELENIYA ROSSIJSKOJ AKADI NAUK FITS KNTS SO RAN KNTS SO RAN,俄罗斯,1
信州大学 | 不二越机械工业股份有限公司,中国,1
信州大学 | 不二越机械工业股份有限公司,俄罗斯,1
桂林理工大学,中国,1
出光兴产株式会社,日本,7
英飞凌科技股份有限公司,中国,1
IDAHO STATE UNIVERSITY,美国,1
东芝电子元件及储存装置股份有限公司,美国,1
森祥(宁波)新材料有限公司 | 中国科学院宁波材料技术与工程研究所,中国,1
汉民科技股份有限公司,美国,1
武汉华星光电技术有限公司,中国,1
三星显示器有限公司,美国,3
西门子医疗解决方案美国公司,中国,1
罗姆股份有限公司,美国,1
国家纳米科学中心,中国,2
田村株式会社 | 国立大学法人东京农工大学,中国,4
东北大学（中国）,中国,1
黑龙江科技大学,中国,1
株式会社EUGENE科技材料,美国,1
国立大学法人 和歌山大学,日本,1
常州创索新材料科技有限公司,中国,1
中国工程物理研究院化工材料研究所 | 四川省新材料研究中心,中国,1
日本放送协会,日本,2
罗姆股份有限公司,中国,1
盐城卓越电子材料有限公司,中国,1
田村株式会社 | 独立行政法人情报通信研究机构,日本,3
西克帕控股有限公司,日本,1
拉姆研究公司,日本,1
株式会社FLOSFIA | 独立行政法人情报通信研究机构 | 京都大学,日本,1
山东省科学院新材料研究所 | 济南汇科瑞泰光电技术有限公司,中国,1
山东省科学院新材料研究所,中国,1
松下电器产业株式会社,日本,3
田村株式会社,美国,3
东港智科产业园有限公司,中国,1
美题隆公司,美国,1
住友化学工业株式会社,日本,6
田村株式会社 | 独立行政法人情报通信研究机构 | 国立大学法人东京农工大学,欧洲专利局,1
株式会社博迈立铖,美国,1
三井金属矿业株式会社,中国台湾,3
三菱化学株式会社,日本,3
田村株式会社 | 独立行政法人理化学研究所,中国,1
炬力奈米科技有限公司,中国,1
株式会社半导体能源研究所,美国,4
日亚化学工业株式会社,日本,2
田村株式会社 | 株式会社光波,日本,24
X VI株式会社,日本,1
福斯创弗邦柏林公司,美国,1
苏州市嘉明机械制造有限公司,中国,1
法国圣戈班玻璃有限公司,美国,2
株式会社EUGENE科技材料,韩国,1
江苏迪纳科精细材料股份有限公司,中国,1
南通大学技术转移中心有限公司,中国,1
南通全昂等离子体科技有限公司,中国,1
大阪大学 | 伊藤忠吉普世股份有限公司 | 国立大学法人东京农工大学,美国,1
东京应化工业株式会社,中国,1
南京大劲精密机械有限公司,中国,1
株式会社SUMCO,日本,1
青岛阿莫斯资源科技有限公司,中国,1
美光科技公司,美国,3
YEOM SUNG WUNG,美国,1
염성웅,韩国,1
三菱综合材料株式会社 | 三菱材料电子化成株式会社,日本,1
超科技公司,中国,1
田村株式会社,中国,11
徐州永丰磁业有限公司,中国,1
田村株式会社 | 独立行政法人情报通信研究机构,中国,2
浦项工科大学校产学协力团,韩国,1
田村株式会社 | 株式会社光波,中国,8
住友金属矿山株式会社,中国台湾,3
常熟耐素生物材料科技有限公司,中国,1
株式会社东芝 | 东芝能源系统股份有限公司,日本,1
中国科学院新疆理化技术研究所,中国,1
新疆大学,中国,2
日本碍子株式会社,韩国,1
梨花女子大学校产学协力团 | 쌍트르나쉬오날드라르쉐르스쉬앙티피끄,韩国,2
田村株式会社 | 株式会社光波,美国,2
住友电气工业株式会社 | 东北大学（日本）,中国,1
深圳有维光电科技有限公司,中国,1
乐金电子公司 | 成均馆大学校产学协力团,美国,1
全斯鲁森特公司,日本,1
马克专利公司,美国,2
马克专利公司,日本,1
财团法人工业技术研究院,美国,1
北京工业大学,美国,1
福州高意光学有限公司,中国,1
喜星金屬公司,韩国,3
山东晶瑞光电科技有限公司,中国,1
福建新越金属材料科技有限公司,中国,2
西克帕控股有限公司,中国,1
中美硅晶制品股份有限公司 | CHEN MIIN JANG,美国,1
可持续能源联盟有限责任公司,美国,2
株洲科能新材料股份有限公司,中国,1
吉坤日矿日石金属株式会社,日本,1
学校法人早稲田大学,日本,5
IQE有限公司,日本,1
上海理工大学,中国,1
京东方科技集团股份有限公司 | 合肥鑫晟光电科技有限公司,美国,1
东京威力科创股份有限公司,美国,1
